frame,nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
29,-720.7054214329731,-541.1937689331052,2335.818234472725,-689.6488306118198,-575.5923065653399,2336.428363698068,-676.4906437159854,-575.0853486912703,2331.8264733726432,-662.0532858922891,-574.9070367890429,2328.363341424777,,,,,,,,,,-614.8685858978212,-556.2859055706588,2343.03712821222,,,,-694.0364814171012,-498.3730371164277,2340.205414987764,-728.5833696699889,-504.13589000265176,2357.66901342078,-477.6509154085505,-331.6492780833042,2297.478846193293,-816.9467155263018,-364.1475377925871,2515.6214720659045,-344.07345741239493,-98.281056758495,2249.6177237230618,-888.057205254255,-125.85457875490368,2576.1739664505744,-373.6540633721056,127.70147940582132,2154.02577445244,,,,-371.8603553221238,204.72212035949812,2130.6601310134915,,,,-406.6976657119309,197.1009733971297,2132.583627253827,,,,-416.9908819353467,176.52509435845613,2148.8948410980943,,,,-553.5424422219228,178.5671747384269,2350.84511850172,-768.0306364561277,181.69078494954505,2495.1820726553183,-623.5772486730091,534.40405657058,2312.2130594122928,,,,,,,,,,-457.465515510525,512.3557596025972,2407.550705058232,,,,,,,-728.5355259567866,994.825153310357,2509.400430417089
30,-660.4687391452915,-598.2472436072259,2328.415896704334,-627.6191636827436,-629.823772319693,2328.271503659369,-613.9939614861199,-629.4848149835626,2324.011855787225,-599.5153929845437,-629.2804094802137,2320.8260167464496,,,,,,,,,,-549.5705237793907,-616.154224441109,2334.3271207789057,,,,-632.2243582206308,-559.827426100902,2331.0387058057127,-666.040772474138,-565.369816124412,2348.9359880216307,-419.09088613683394,-390.63160653367066,2287.9428923376845,-745.7754980106623,-437.70255815388686,2509.453328353219,-302.2023325962681,-152.3653645920678,2237.6022406803613,-811.1869660360612,-184.91054873115004,2587.746000895893,-348.3009700177043,66.61936487404165,2147.5420401992665,-858.4485421863191,39.67799402196639,2575.63063302982,-352.3234296047544,144.7234147778225,2125.1125735553737,-878.1546287081468,115.9488160913918,2576.498022274908,-388.04227498709497,140.06618285218423,2134.3820706888623,-867.7797130143723,108.53690450346868,2553.067472207581,-397.9522575385744,118.1882354134042,2149.6833721729454,-851.7655279662558,88.76250096640862,2547.73671552064,-526.5170170973448,111.68098160105008,2362.542815406434,-736.5430182163351,86.70445777796078,2497.0446269604654,-647.667506920409,457.2101763764442,2316.9045252088213,-796.9558962033974,500.0383063178677,2482.787950436984,-772.8172492210738,515.8007953129555,2401.85066023854,-753.3034327219748,814.9315018578324,2528.2772706501733,-852.476621587224,492.8296319083936,2416.094079446689,-735.023250967286,835.6413938832483,2553.564759757059,-840.8145513796921,623.3479340491338,2365.4796740509087,-752.3768391936181,1020.6917383300164,2494.280623500781
31,-611.5242704905118,-635.2555603542172,2321.3891567478145,-582.1598504277148,-670.6171186355477,2317.9626619893124,-568.2429046617633,-670.2661211353739,2313.7463267268517,-554.3785967985269,-670.1934638958475,2310.516416955853,,,,,,,,,,-508.6632625959491,-661.4995742317525,2322.454973906269,,,,-584.8326681246984,-593.8154718846793,2323.683336862844,-617.1485284960158,-597.4615289302282,2344.150225262361,-379.034144003412,-429.2201780423103,2281.392500706889,,,,-290.4265539993683,-179.55685766995964,2230.4289275767783,-751.3114715372295,-228.16496727747355,2590.351737746856,-344.48499056655254,48.39004668204867,2150.1149098955766,-797.8084579425746,2.151006642593948,2592.2352861582644,-349.3336070617993,129.715488892588,2131.180068359066,-816.1442254306995,80.06160384179883,2601.273203277498,-387.4236781423874,120.0527887243986,2148.644484873954,-809.5463568627355,75.21293848277128,2578.0760558411966,-398.5590602519136,96.22953841234865,2163.837472079566,-791.3562982137428,49.17599537179038,2571.6914982437847,-499.2194002015461,68.53406273334937,2369.9244082790487,-709.3030228104107,42.68640034972466,2498.656577202523,-587.8920833384285,397.552376972985,2347.2885486715627,-797.7722863635006,407.1965724842496,2485.3313886209776,,,,-764.333971237232,758.9607673644318,2507.4331472134986,,,,-769.1139687115891,795.5215778875624,2538.9068902527333,,,,-767.158273452195,892.2291661868065,2468.5934647249355
32,-584.9831228793091,-664.6220753955912,2319.0287242946506,-558.694691088551,-699.3784056463558,2312.773474647327,-545.22259954308,-699.1046614150283,2307.543290551582,-531.0182434725004,-698.9430403339476,2303.044425914262,,,,,,,,,,-480.9702592405277,-687.7990209010153,2310.146601716546,,,,-562.753753317052,-623.829479277479,2318.827822421304,-590.8142434938877,-628.5178372084425,2340.8543200951763,-354.34954977366215,-458.58919347710594,2276.4929987594733,,,,-283.6783547126789,-193.0607071555728,2228.5499144976925,,,,-354.350660518518,44.46530229831749,2166.8155189563067,-732.8849768066365,-38.745471600140775,2606.331257168284,-355.57180724142154,121.05947690838848,2144.0512356899803,-770.6848055555317,32.18025671681821,2611.9820392168504,-392.8161954258842,108.93483801495871,2161.649199037953,,,,-401.87363299566897,85.28222059901968,2178.2556930708124,,,,-486.8154848054855,50.00401369654303,2373.8363708486413,-675.980892410372,12.962164956150993,2499.721499411265,-539.8011671370779,384.37061951282345,2365.062463217544,-817.038775342986,309.429523033595,2479.048666213729,-468.5268377890279,614.3594966301944,2525.19554035446,,,,-446.8969327387021,646.7875333171505,2584.4180649920168,,,,-507.194396722316,750.2955402093904,2510.7047108165093,-806.7027891968348,825.1819297226111,2434.043048641317
33,-566.6511320311489,-677.3027405808286,2319.0880874986465,-539.27072236551,-714.9275087583228,2310.441405019154,-526.4352991003627,-714.725946898495,2304.404429049986,-511.9783417474036,-715.0799328949277,2299.101261688175,-565.0257461975403,-718.4688106052952,2330.809038861807,,,,,,,-459.0094850547501,-704.5757651515205,2303.12304836367,,,,-542.6245929438561,-640.3484090511769,2317.1973808456123,-571.761507907969,-641.6329648283886,2340.8537647491203,-342.14451681767787,-472.183104939112,2272.2372498773625,,,,-287.8296758032208,-199.0747171255325,2228.1015471084866,-631.1025686838924,-273.9247564808762,2587.7545894690907,-353.9142402378398,45.79132588283949,2192.875353841093,-689.5612911186323,-57.97640590945766,2613.7955126266493,-362.2224440805457,123.18056943674507,2177.8206076769857,-718.0305320056391,18.978880735966545,2627.533687742302,-396.3014247541884,109.20533244339391,2191.744164127748,-712.6214402667358,-1.1209383485835898,2607.470661094781,-402.78805941491567,85.07813527040233,2206.7936187199784,,,,-477.3060412253225,40.15261376937247,2373.9295419049567,-665.1587102451776,2.2426012970693368,2501.125542623534,-526.7673838758059,362.9806026855243,2373.396190461406,-829.0034352021797,245.05822015899477,2486.138096036484,-510.4383605360152,623.1760297440043,2497.3583935504817,-765.9343671147517,668.8293808338357,2466.6567223888896,-488.2810578750227,665.3938142536942,2544.794159578033,-726.9159501369764,720.179915543684,2470.1613604373665,-543.0663429965198,760.1976703584994,2467.9112347200685,,,
34,-549.1297755127064,-695.7661189055166,2322.1794219098683,-523.0871330362298,-734.8730335349356,2311.193819426843,-511.3174688079963,-735.2956424927779,2304.778912809046,-498.2169231962635,-736.1101025176978,2299.2112589096214,-547.6142634600458,-736.0055467871047,2332.0020717731218,-553.3922092155187,-737.7048166995326,2341.252029052924,-559.0476006676251,-739.4583137248728,2350.901901240283,-443.06667793443455,-724.123527051797,2301.8308521331155,-528.6000705711978,-736.3849239547521,2381.932025704425,-521.6093441373451,-660.835177048091,2317.718252720782,-551.5002345135179,-660.3348050616177,2343.4959357644643,-324.03897664573964,-488.54972184132026,2271.3414072968594,-580.7174471044991,-546.4264300736298,2491.665462383798,-291.3322035772488,-207.48410598452625,2227.276764397619,-620.784390470011,-288.0176753188903,2586.368069431321,-361.2531417605488,31.575185438199203,2221.3706020922195,-682.2774957774877,-81.97085002107238,2611.5016253370136,-372.6090448496821,112.86430977003026,2220.2713085790897,-712.036425181845,-10.313085397029694,2622.0664831033187,-407.2056995723983,96.8220969187399,2239.987327860826,,,,-413.1957773849825,70.82383456982511,2250.0220352064835,,,,-462.7541699224244,15.2512992814295,2377.854479429081,-644.0752572233995,-22.0605400757119,2505.202461457682,-510.1573408650428,341.86567523239506,2383.501046793477,-832.5900746229422,192.37546638106693,2488.5593395007813,-463.45308278614135,627.0191469030731,2501.908467095357,-765.969320636756,590.7267797755549,2466.2338479048326,-431.2422394882255,676.4750057725557,2542.723620729974,-711.0778429105003,658.9796083208847,2471.20722279826,-526.232944088593,750.5131458936921,2451.50096643759,,,
35,-537.8833952573658,-707.8654270116435,2326.757106416647,-512.8389826323859,-746.0755110662598,2315.63993304986,-500.5027210107797,-747.176055016451,2308.188780313483,-488.1859764452645,-748.6858378441104,2302.019351210949,-538.77387031354,-745.8536374164157,2336.070674663837,-544.9261542783673,-746.7345013768748,2345.2043652210727,-550.9040593469693,-747.9905356418445,2354.5226628323776,-437.3101916162408,-739.1368231902873,2301.5691281857494,-521.7347847867794,-746.0432634274921,2383.9137554385115,-507.974357997468,-674.0936603283361,2321.0599311230726,-538.4288669973034,-673.4069061321709,2348.2765962360563,-316.972361358416,-505.9338186901107,2269.2330349136023,-556.0123818474425,-559.4847523171396,2495.537175088264,-296.6628711932263,-222.38229899060696,2225.8726930377584,-602.6172862200386,-303.6330504488212,2587.2840993976315,-367.1127687541296,13.825772530122393,2229.4462421368435,-671.0382222430103,-103.70440407523202,2608.7283893325207,-380.6365770326666,94.49653076000892,2232.985509598043,-705.1270691095883,-40.68173099002325,2616.7080017214976,-414.6385819984061,77.801062620535,2251.543383330365,,,,-419.7752044673829,52.28902347258243,2259.3722147306053,,,,-452.1646998063625,1.0166449621190925,2381.843951411395,-624.0964138344184,-41.461901557947535,2511.552927409637,-497.9754265760269,349.1963110802447,2397.196338801552,-840.1094867002365,168.66681508995038,2497.835673278696,-459.3886236457472,623.6233469745187,2507.804418536564,-746.8393451264376,541.6992590525319,2482.65558907734,-432.3684403675115,668.3133709491643,2539.405140921686,-684.0158263159166,607.9019112751541,2485.23755915843,-539.3827842326281,753.1540360042164,2490.1343465559967,,,
36,-521.3767604920781,-728.8361777596898,2332.3702425520414,-494.98865971120784,-764.8862527161026,2323.076171957988,-483.8168393584208,-765.9980567767868,2316.9762662924163,-472.2509545398329,-767.0675713126876,2310.6941292864726,-517.7634343219073,-764.2482431519579,2344.6259679806003,-522.346689053115,-765.0139368594158,2353.996231443052,-526.4460495352183,-765.8519167994558,2362.890323886054,-422.1555576570636,-756.6091529013289,2311.04371524527,-490.40098006295534,-764.8495319545148,2392.188673102168,-491.0783351622848,-699.5507160714807,2326.2937886648124,-517.6554877571658,-700.0755599948416,2354.343500994175,-299.5928183041124,-530.6992856471247,2267.9927913341576,-534.3718179945034,-572.996024975053,2500.3311781738166,-290.46645734652645,-248.70203629891083,2231.5193412902377,-593.1932471927979,-311.62239098538925,2588.695399734324,-373.42032219892553,-11.119824251386111,2250.7049802490983,-669.1357136721523,-102.67595301555863,2611.051827327737,-387.5413515688095,67.23929259455394,2253.1608422937115,-706.1158241104911,-37.48054292368639,2618.50200085764,-422.2631460945095,49.09742894368016,2268.720858027091,-702.9473008321758,-54.67389552538299,2600.465377499431,-427.1597006383792,23.21316235922704,2275.732050348988,-679.096410371157,-74.44097477174759,2594.363095257044,-427.0549239102049,-18.84925716601152,2387.685704343164,-594.5505779829869,-66.58302077602455,2520.4330792818514,-490.1424774191206,329.0080420704813,2411.246344564481,-824.8018752278837,146.249136995855,2519.042712291943,-464.3620216585045,636.1254307950727,2519.0727522658567,-672.5222677402162,484.2170794164316,2523.5615769213528,-443.5847700012437,682.6716906879346,2553.7822855137288,-622.4611225224626,538.7149080722863,2527.329559659115,-552.0221458283706,753.6373728805643,2496.6760854025297,,,
37,-506.3228156030482,-735.6256050097851,2344.026338697132,-483.66256927172697,-772.1387688181198,2332.8326335840843,-472.48223097059,-774.3227398851299,2326.853206507993,-461.0826741763841,-776.8128008730704,2321.411595797893,-506.934206895344,-770.7416642272434,2356.2147140840066,-511.68611137480656,-771.324192178859,2365.181907136248,-516.1777328585171,-772.1516169066268,2374.1262339367318,-408.9641803690973,-772.08143273219,2320.7492615090828,-483.6024048724691,-774.1730567298147,2399.607731792994,-474.88010926566113,-708.5203089297871,2337.0382269042548,-501.4412823480586,-708.7609378117459,2367.7409684976296,-283.79614403197866,-547.5010097597965,2272.1346296626325,-525.4990088035448,-585.0826360950609,2502.9915984913905,-279.0888966787508,-270.8429730537455,2239.291216737184,-577.0906593560074,-324.2281536251068,2591.485787633476,-372.0283484342975,-34.90933262039071,2266.148142272513,-662.3762386514728,-122.66503338089107,2613.267175335225,-387.711472550366,41.064252181058215,2270.270098975689,-687.3401501138944,-57.38713372339094,2624.158552631146,-420.87086694762274,21.72194469113722,2284.58527813195,-690.3468717215745,-69.72366361668297,2604.648844460777,-424.012937225043,-3.61681193793733,2291.3358096805187,-669.0455129602531,-88.51202291865519,2597.5303191409043,-408.2189258142547,-41.51874203640339,2388.993595291797,-575.3033501797671,-86.15563981292594,2524.3789210801724,-468.3071810639488,299.6245824325744,2412.4520014900545,-779.1311493740868,133.60346159122344,2529.1911221624173,-462.6157582638969,633.0874492161001,2508.602860984756,-591.3186719516403,453.1231416143559,2563.24898182208,-449.7535251875127,682.1497692815805,2543.9818360594736,-547.566819965034,501.75693253838864,2564.2379173227127,-545.6520971515323,741.1288569424167,2497.329527496693,-680.2822493410024,588.0187054314257,2563.7044815069826
38,-494.2681299737779,-737.1468150037734,2354.80933236834,-474.3852068522479,-770.5424039224612,2342.867461096024,-464.62736146241895,-771.6256359264285,2336.295442831981,-454.8816778112762,-773.3725782949159,2331.403096427117,-493.62436282410994,-771.4339147416947,2366.9464439205744,-497.17939672824457,-773.0038884031364,2376.629378912835,-500.32136371625177,-774.5163401716001,2385.5917070507185,-403.68441316746527,-770.4499303517836,2332.752808160227,-465.44091020933695,-777.0947363103729,2409.7469443873806,-465.5115292162048,-709.6014902600416,2348.101301089453,-488.0408430586047,-711.8052360665736,2380.310448139385,-269.92684938237176,-561.4155019763766,2279.457655868423,-514.9872385950451,-589.1931582916044,2512.257181893294,-264.0625835920816,-290.1378978492481,2246.756362391459,-562.0894348111595,-325.20125903116315,2597.831053211476,-358.1390371680465,-54.13886391150372,2268.2128159030262,-642.3006934620777,-137.14676674045185,2620.6737028016173,-374.6262920291772,23.11227929371918,2267.2214591150896,-667.2071985463808,-76.47093730470907,2632.829652506378,-408.7956691817922,4.74388816733822,2286.763394889523,-663.6695116949264,-82.74285189174714,2615.685981276127,-410.621657937065,-19.3202600477004,2294.669752547027,-648.820809781341,-97.7093902587356,2606.1647521337086,-379.2070988770921,-64.81296523966323,2394.303446982632,-546.0511354332493,-92.62820330157598,2531.7203545082803,-431.45549039168367,289.19632383321925,2418.3489137660945,-692.4838306296517,169.07588175642303,2556.322393527462,-466.7016377134954,615.0057666358879,2508.928233514777,-504.7664489877382,472.4224074002682,2610.238729691024,-459.34775114446825,659.559522148088,2546.904643449363,-452.482521356668,505.2505852868709,2616.4757518216884,-537.9507641047256,736.2711593482693,2489.161819408965,-541.8477079996735,636.7834572349118,2631.794364039481
