# Metadata
# tracker: mediapipe_tracker
# num_cameras: 2
# num_landmarks: 33

frame,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_shoulder,right_shoulder,left_hip,right_hip,left_elbow,left_wrist,right_elbow,right_wrist,left_knee,left_ankle,right_knee,right_ankle
0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,149.01783509523375,159.0585627098159,,,,,,
15,,,,,,,,,,,,151.93131829642076,159.70543974177224,,167.6184323568523,,,,
16,,,,,,,,,,,,156.58956806303914,164.80403941826967,,170.9867932329338,,,160.04843401577062,154.3102155945406
17,,,,,,,,21.242693539432242,,175.8576262194455,,162.3575206143646,166.21463891732824,,171.27183855937832,,,,
18,,,,,,,,19.918445773289758,,97.30786410968017,92.97557246641273,166.37950743715348,173.09550119935156,,18.71299682266668,,,,
19,,,,,,,,21.915947961822525,,95.9047106938015,88.0443656371518,163.03698781932195,178.9643787363157,,173.80672776733272,,,,
20,,,,,,,,,,97.24301298372589,,,44.45839097808754,,167.59416457392496,,,,
21,,,,,,,,,,99.24861646192035,93.05550912426,,,,,,,160.52396530302903,159.79349186916647
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,25.535091129288038,,,,,167.0408753672844,149.60631448874068
27,,,,,,,,,87.16000487769917,,170.91956691219292,,24.405340484388976,,,,,163.91385533249806,150.01198475020826
28,,,,,,,,119.76849294584503,83.39044774441666,,164.02164092022628,146.1524611957003,166.24300684656208,,,,135.39899334027837,,
29,,126.9251804130733,174.0483944068151,143.9263578691315,,,,84.30909505645148,79.93258408006312,100.99594287692948,94.74824529551813,142.235000836969,169.85509451113182,,,,,,
30,,132.25209518311598,175.01685467419094,149.63216043814143,,,,82.20752208376004,81.6042555973213,98.8651772569724,97.298656811267,141.96287730468475,169.6842190711168,160.11795317649106,175.5153790979187,121.78926661555371,136.10945578240234,160.94198795490453,134.76741163640492
31,,127.77604435361155,176.10392123947926,150.6087265715992,,,,38.89579190811192,,100.64449663695724,94.59480691010148,147.2846859334403,168.81612544132207,,173.74455841544142,,,160.12754528969307,141.309881420929
